"Libellé";"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Alimentation";"Codes"
"idBank";"001759963";""
"Dernière mise à jour";"15/09/2022 08:45";""
"Période";"";""
"2021-12";"109.46";"A"
"2021-11";"108.9";"A"
"2021-10";"108.47";"A"
"2021-09";"108.65";"A"
"2021-08";"109.48";"A"
"2021-07";"108.77";"A"
"2021-06";"108.65";"A"
"2021-05";"109.41";"A"
"2021-04";"108.84";"A"
"2021-03";"108.24";"A"
"2021-02";"108.19";"A"
"2021-01";"108.4";"A"
"2020-12";"107.99";"A"
"2020-11";"108.41";"A"
"2020-10";"107.74";"A"
"2020-09";"107.57";"A"
"2020-08";"108.08";"A"
"2020-07";"107.85";"A"
"2020-06";"108.85";"A"
"2020-05";"109.7";"A"
"2020-04";"109.16";"A"
"2020-03";"107.23";"A"
"2020-02";"107.29";"A"
"2020-01";"107.32";"A"
"2019-12";"106.87";"A"
"2019-11";"106.28";"A"
"2019-10";"106.15";"A"
"2019-09";"106.62";"A"
"2019-08";"107.15";"A"
"2019-07";"106.66";"A"
"2019-06";"106.1";"A"
"2019-05";"105.99";"A"
"2019-04";"105.27";"A"
"2019-03";"105.2";"A"
"2019-02";"105.41";"A"
"2019-01";"105.23";"A"
"2018-12";"104.7";"A"
"2018-11";"104.11";"A"
"2018-10";"104.3";"A"
"2018-09";"104.46";"A"
"2018-08";"103.88";"A"
"2018-07";"103.59";"A"
"2018-06";"103.46";"A"
"2018-05";"103.64";"A"
"2018-04";"102.72";"A"
"2018-03";"102.66";"A"
"2018-02";"102.29";"A"
"2018-01";"102.43";"A"
"2017-12";"102.1";"A"
"2017-11";"102.12";"A"
"2017-10";"102.02";"A"
"2017-09";"101.6";"A"
"2017-08";"101.67";"A"
"2017-07";"101.62";"A"
"2017-06";"101.55";"A"
"2017-05";"101.84";"A"
"2017-04";"101.11";"A"
"2017-03";"101.17";"A"
"2017-02";"101.46";"A"
"2017-01";"101.2";"A"
"2016-12";"100.75";"A"
"2016-11";"100.62";"A"
"2016-10";"100.47";"A"
"2016-09";"100.53";"A"
"2016-08";"101.04";"A"
"2016-07";"100.87";"A"
"2016-06";"100.76";"A"
"2016-05";"101.39";"A"
"2016-04";"100.36";"A"
"2016-03";"100.36";"A"
"2016-02";"99.9";"A"
"2016-01";"99.93";"A"
"2015-12";"100.03";"A"
"2015-11";"100.34";"A"
"2015-10";"100.55";"A"
"2015-09";"100.06";"A"
"2015-08";"99.56";"A"
"2015-07";"99.65";"A"
"2015-06";"100.18";"A"
"2015-05";"100.42";"A"
"2015-04";"99.97";"A"
"2015-03";"99.95";"A"
"2015-02";"99.74";"A"
"2015-01";"99.55";"A"
"2014-12";"99.46";"A"
"2014-11";"99.53";"A"
"2014-10";"99.54";"A"
"2014-09";"99.18";"A"
"2014-08";"98.75";"A"
"2014-07";"99.28";"A"
"2014-06";"99.82";"A"
"2014-05";"100.03";"A"
"2014-04";"99.7";"A"
"2014-03";"99.86";"A"
"2014-02";"99.67";"A"
"2014-01";"99.8";"A"
"2013-12";"99.88";"A"
"2013-11";"99.78";"A"
"2013-10";"99.69";"A"
"2013-09";"99.79";"A"
"2013-08";"100.25";"A"
"2013-07";"100.69";"A"
"2013-06";"101.36";"A"
"2013-05";"100.92";"A"
"2013-04";"100.3";"A"
"2013-03";"100.0";"A"
"2013-02";"99.52";"A"
"2013-01";"99.43";"A"
"2012-12";"99.49";"A"
"2012-11";"99.51";"A"
"2012-10";"99.5";"A"
"2012-09";"98.66";"A"
"2012-08";"98.45";"A"
"2012-07";"98.93";"A"
"2012-06";"99.54";"A"
"2012-05";"99.14";"A"
"2012-04";"98.58";"A"
"2012-03";"98.58";"A"
"2012-02";"97.89";"A"
"2012-01";"97.34";"A"
