"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","AVWAGE","TOT","USD","A","2003",41754.0664139514,
"FRA","AVWAGE","TOT","USD","A","2004",42434.812193927,
"FRA","AVWAGE","TOT","USD","A","2005",42946.0568732116,
"FRA","AVWAGE","TOT","USD","A","2006",43425.5363190101,
"FRA","AVWAGE","TOT","USD","A","2007",43584.4943182915,
"FRA","AVWAGE","TOT","USD","A","2008",43500.9047566945,
"FRA","AVWAGE","TOT","USD","A","2009",44884.958651256,
"FRA","AVWAGE","TOT","USD","A","2010",45791.0659379029,
"FRA","AVWAGE","TOT","USD","A","2011",45708.8389722874,
"FRA","AVWAGE","TOT","USD","A","2012",46004.8229735562,
"FRA","AVWAGE","TOT","USD","A","2013",46392.3574719985,
"FRA","AVWAGE","TOT","USD","A","2014",46711.5246971043,
"FRA","AVWAGE","TOT","USD","A","2015",47157.1790678884,
"FRA","AVWAGE","TOT","USD","A","2016",47702.5930302887,
"FRA","AVWAGE","TOT","USD","A","2017",48364.5619279381,
"FRA","AVWAGE","TOT","USD","A","2018",48302.8180688659,
"FRA","AVWAGE","TOT","USD","A","2019",48768.783706745,
"FRA","AVWAGE","TOT","USD","A","2020",46765.1051201413,
"FRA","AVWAGE","TOT","USD","A","2021",49618.7997253419,
